# #   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv 
616.0;0.0;178.5;2.0;0.0;0.08335;-0.00066;0.16346;-0.02109;-0.0;0.16041
618.0;0.0;180.0;2.0;0.0;0.08303;-0.00067;0.16343;-0.02102;-0.0;0.16037
620.0;0.0;181.5;2.0;0.0;0.08272;-0.00067;0.1634;-0.02095;-0.0;0.16034
622.0;0.0;183.0;2.0;0.0;0.0824;-0.00067;0.16336;-0.02089;-0.0;0.16031
624.0;0.0;184.5;2.0;0.0;0.08209;-0.00068;0.16334;-0.02085;-0.0;0.16028
626.0;0.0;186.0;2.0;0.0;0.08178;-0.00068;0.16331;-0.02081;-0.0;0.16026
628.0;0.0;187.5;2.0;0.0;0.08147;-0.00068;0.1633;-0.02078;-0.0;0.16025
630.0;0.0;189.0;2.0;0.0;0.08115;-0.00069;0.1633;-0.02078;-0.0;0.16025
632.0;0.0;190.5;2.0;0.0;0.08084;-0.00069;0.16334;-0.02073;-0.0;0.1603
634.0;0.0;192.0;2.0;0.0;0.08053;-0.0007;0.16333;-0.02038;-0.0;0.16039
636.0;0.0;193.5;2.0;0.0;0.0802;-0.00069;0.16413;-0.02567;0.0;0.16392
37041.0;90.0;195.0;2.0;0.14218;0.07978;0.0;0.14898;-0.02408;0.0;0.14674
37043.0;89.80017;0.16532;2.0;0.1057;0.04385;-0.00775;-0.23838;1.23636;-0.0126;2.12257
37045.0;89.80034;0.33063;2.0;0.10647;0.04555;-0.0055;0.04009;0.70835;-0.00823;1.28963
37047.0;89.80051;0.49595;2.0;0.10703;0.04661;-0.00414;0.11586;0.49475;-0.00563;0.90003
37049.0;89.80068;0.66127;2.0;0.10759;0.04739;-0.00329;0.13822;0.43227;-0.0043;0.73606
37051.0;89.80085;0.82658;2.0;0.10816;0.04808;-0.00268;0.13712;0.35662;-0.00323;0.58252
37053.0;89.80102;0.9919;2.0;0.10877;0.04862;-0.00234;0.12589;0.29295;-0.0026;0.47336
37055.0;89.80119;1.15722;2.0;0.10935;0.04909;-0.00213;0.13377;0.2821;-0.0024;0.45062
37057.0;89.80136;1.32253;2.0;0.10988;0.04954;-0.00197;0.13383;0.26831;-0.00218;0.42263
37059.0;89.80153;1.48855;2.0;0.11038;0.04997;-0.00185;0.13285;0.25285;-0.002;0.39567
37061.0;89.8017;1.65338;2.0;0.11085;0.05037;-0.00176;0.13219;0.23767;-0.00185;0.37232
37063.0;89.80187;1.81892;2.0;0.1113;0.05075;-0.00169;0.13141;0.22438;-0.00172;0.35298
37065.0;89.80204;1.98445;2.0;0.11173;0.05111;-0.00164;0.13038;0.21293;-0.00162;0.3365
37067.0;89.80221;2.14998;2.0;0.11215;0.05145;-0.0016;0.1294;0.20299;-0.00154;0.32245
37069.0;89.80237;2.31552;2.0;0.11255;0.05178;-0.00156;0.1285;0.19436;-0.00147;0.31039
37071.0;89.80254;2.48105;2.0;0.11294;0.05209;-0.00152;0.12768;0.18682;-0.0014;0.29995
37073.0;89.80271;2.64658;2.0;0.11331;0.05239;-0.00149;0.12696;0.18018;-0.00135;0.29082
37075.0;89.80288;2.81212;2.0;0.11367;0.05268;-0.00146;0.12632;0.17426;-0.0013;0.28275
37077.0;89.80305;2.9771;2.0;0.11402;0.05296;-0.00144;0.12575;0.1689;-0.00126;0.27554
37079.0;89.80322;3.14297;2.0;0.11436;0.05324;-0.00141;0.12526;0.16404;-0.00122;0.26907
37081.0;89.80339;3.30828;2.0;0.11469;0.0535;-0.00139;0.12485;0.15958;-0.00118;0.26319
37083.0;89.80356;3.4736;2.0;0.11501;0.05376;-0.00137;0.1245;0.15543;-0.00115;0.25783
37085.0;89.80373;3.63892;2.0;0.11532;0.05401;-0.00135;0.1242;0.15156;-0.00112;0.25289
37087.0;89.8039;3.80423;2.0;0.11562;0.05426;-0.00133;0.12395;0.14793;-0.00109;0.24833
37089.0;89.80407;3.96955;2.0;0.11592;0.0545;-0.00131;0.12373;0.14451;-0.00107;0.2441
37091.0;89.80424;4.13487;2.0;0.11621;0.05473;-0.0013;0.12355;0.14127;-0.00104;0.24015
37093.0;89.80441;4.30018;2.0;0.11649;0.05496;-0.00128;0.12339;0.13819;-0.00102;0.23647
37095.0;89.80458;4.46565;2.0;0.11677;0.05519;-0.00127;0.12325;0.13533;-0.001;0.23305
37097.0;89.80475;4.63082;2.0;0.11704;0.05541;-0.00125;0.12314;0.13251;-0.00098;0.22978
37099.0;89.80492;4.79613;2.0;0.1173;0.05562;-0.00124;0.12305;0.12986;-0.00096;0.22672
37101.0;89.80509;4.96145;2.0;0.11756;0.05583;-0.00123;0.12297;0.12734;-0.00095;0.22384
37103.0;89.80526;5.12677;2.0;0.11782;0.05604;-0.00121;0.12291;0.12491;-0.00093;0.22112
37105.0;89.80543;5.29208;2.0;0.11807;0.05624;-0.0012;0.12286;0.12259;-0.00092;0.21854
37107.0;89.8056;5.4574;2.0;0.11832;0.05644;-0.00119;0.12283;0.12038;-0.0009;0.21611
37109.0;89.80577;5.62272;2.0;0.11856;0.05664;-0.00118;0.12282;0.11823;-0.00089;0.2138
37111.0;89.80594;5.78803;2.0;0.11879;0.05683;-0.00117;0.12282;0.11618;-0.00087;0.21164
37113.0;89.80611;5.9542;2.0;0.11903;0.05702;-0.00116;0.12283;0.1142;-0.00086;0.20961
37115.0;89.80628;6.11888;2.0;0.11926;0.05721;-0.00115;0.12283;0.11235;-0.00085;0.20773
37117.0;89.80662;6.44995;2.0;0.1197;0.05757;-0.00113;0.12271;0.1088;-0.00083;0.20406
37119.0;89.80763;7.44275;2.0;0.12097;0.0586;-0.00109;0.12259;0.09967;-0.00077;0.19471
37121.0;89.80916;8.9313;2.0;0.12267;0.05998;-0.00103;0.1233;0.088;-0.00071;0.18394
37123.0;89.81069;10.41985;2.0;0.1242;0.06122;-0.00099;0.12382;0.0793;-0.00066;0.17644
37125.0;89.81221;11.9084;2.0;0.12557;0.06233;-0.00096;0.12442;0.07192;-0.00062;0.17062
37127.0;89.81374;13.39695;2.0;0.12683;0.06335;-0.00093;0.12507;0.06596;-0.00059;0.16618
37129.0;89.81527;14.8855;2.0;0.12799;0.06429;-0.00091;0.12567;0.06086;-0.00056;0.16263
37131.0;89.81679;16.37405;2.0;0.12905;0.06516;-0.00089;0.12627;0.05636;-0.00054;0.15975
37133.0;89.81832;17.8626;2.0;0.13004;0.06596;-0.00088;0.12687;0.05251;-0.00052;0.15743
37135.0;89.81985;19.35115;2.0;0.13096;0.06671;-0.00086;0.12745;0.04903;-0.0005;0.15547
37137.0;89.82137;20.83969;2.0;0.13181;0.06741;-0.00085;0.12802;0.04595;-0.00048;0.15386
37139.0;89.8229;22.32824;2.0;0.13261;0.06807;-0.00084;0.12858;0.04318;-0.00047;0.15252
37141.0;89.82443;23.81679;2.0;0.13336;0.06869;-0.00083;0.12912;0.04065;-0.00046;0.15139
37143.0;89.82595;25.30534;2.0;0.13406;0.06928;-0.00082;0.12966;0.03838;-0.00045;0.15044
37145.0;89.82748;26.79389;2.0;0.13471;0.06983;-0.00081;0.13018;0.03626;-0.00044;0.14962
37147.0;89.82901;28.28244;2.0;0.13533;0.07035;-0.00081;0.13069;0.03432;-0.00043;0.14893
37149.0;89.83053;29.77099;2.0;0.13591;0.07085;-0.0008;0.13119;0.03252;-0.00042;0.14834
37151.0;89.83206;31.25954;2.0;0.13646;0.07132;-0.00079;0.13169;0.03086;-0.00041;0.14784
37153.0;89.83359;32.74809;2.0;0.13697;0.07176;-0.00079;0.13216;0.02931;-0.0004;0.14741
37155.0;89.83511;34.23664;2.0;0.13745;0.07218;-0.00078;0.13263;0.02787;-0.00039;0.14705
37157.0;89.83664;35.72519;2.0;0.13791;0.07259;-0.00078;0.13309;0.02651;-0.00039;0.14674
37159.0;89.83817;37.21374;2.0;0.13833;0.07297;-0.00078;0.13354;0.02523;-0.00038;0.14648
37161.0;89.83969;38.70229;2.0;0.13874;0.07333;-0.00077;0.13398;0.02403;-0.00037;0.14626
37163.0;89.84122;40.19084;2.0;0.13912;0.07368;-0.00077;0.13441;0.02291;-0.00037;0.14608
37165.0;89.84275;41.67939;2.0;0.13947;0.07401;-0.00076;0.13482;0.02184;-0.00036;0.14593
